id,province_id,country_id,sort_order,name,blurb,is_capital,enabled,date_created,created_by,date_modified,modified_by,note
600,191,102,999,Moltrasio,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
601,219,102,999,Monforte D'alba,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
602,37,219,999,Monroe,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
603,35,219,999,Monroe Township,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
604,45,219,999,Monroeville,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
605,189,102,999,Montaione,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
606,270,102,999,Montalcino,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
607,238,102,999,Montecarlo,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
608,258,102,999,Montecatini Terme,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
609,270,102,999,Montefollonico,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
610,199,102,999,Montella,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
611,214,102,999,Montepaone,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
612,270,102,999,Montepulciano,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
613,270,102,999,Monteriggioni,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
614,270,102,999,Monteroni D'arbia,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
615,231,102,999,Monterosso Al Mare,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
616,185,102,999,Montevarchi,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
617,1,219,999,Montgomery,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
618,270,102,999,Montisi,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
619,302,36,999,Montreal,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
620,244,102,999,Monza,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
621,45,219,999,Moon Township,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
622,192,102,999,Morbegno,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
623,6,219,999,Moreno Valley,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
624,7,219,999,Morrison,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
625,22,219,999,Moss Bluff,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
626,6,219,999,Mountain View,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
627,199,102,999,Mugnano Del Cardinale,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
629,6,219,999,Murrieta,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
630,30,219,999,Muskegon,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
631,48,219,999,Myrtle Beach,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
632,8,219,999,Mystic,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
633,51,219,999,Nacodoches,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
634,35,219,999,Nahwah,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
635,17,219,999,Naperville,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
636,65,102,999,Naples,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
637,245,102,999,Napoli,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
638,34,219,999,Nashua,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
639,50,219,999,Nashville,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
640,12,219,999,Navarre,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
641,51,219,999,Navasota,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
642,26,219,999,Needham,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
643,38,219,999,New Bern,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
644,51,219,999,New Braunfels,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
645,8,219,999,New Haven,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
646,22,219,999,New Orleans,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
647,37,219,999,New York,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
648,35,219,999,Newark,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
649,38,219,999,Newbern,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
650,34,219,999,Newbury,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
651,26,219,999,Newburyport,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
652,6,219,999,Newport Beach ,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
653,6,219,999,Newport Coast,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
654,55,219,999,Newport News,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
655,34,219,999,Newton,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
657,51,219,999,Nocona,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
658,253,102,999,Norcia,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
659,55,219,999,Norfolk,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
660,42,219,999,Norman,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
661,48,219,999,North Augusta,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
662,35,219,999,North Brunswick,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
663,33,219,999,North Las Vegas,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
664,45,219,999,North Wales,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
665,27,219,999,Norton Shores,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
666,51,219,999,Nortwood,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
667,6,219,999,Norwalk,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
669,246,102,999,Novara,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
670,247,102,999,Nuoro,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
671,6,219,999,Oakland,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
672,12,219,999,Oakland Park,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
673,6,219,999,Oceanside,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
674,58,219,999,Oconomowac,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
675,28,219,999,Ofallon,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
